"","year","wood growth (gC m-2 yr-1)"
"1",2005,145.318276516752
"2",2006,179.495042211844
"3",2007,140.472560510737
"4",2008,146.597640238159
"5",2009,115.403528346587
"6",2010,191.098126700304
"7",2011,132.3547183144
"8",2012,169.539458968745
"9",2013,101.274367307428
"10",2014,159.910267620497
"11",2015,142.103279953108
"12",2016,63.1865915723206
"13",2017,111.720582726102
"14",2018,139.621738677045
"15",2019,117.288645008107
"16",2020,139.859018056592
"17",2021,126.015633471568
"18",2022,203.6166529159
"19",2023,98.6842935958797
"20",2024,122.115484243726
